Используемые признаки,MSE
"(0, 1, 2, 3)",0.00525
"(0, 1, 2)",0.00652
"(0, 1, 2, 4)",0.00686
"(0, 1, 2, 3, 4)",0.00704
"(0, 1, 4)",0.09048
"(0, 1)",0.09091
"(0, 1, 3, 4)",0.12305
"(0, 1, 3)",0.12631
"(0, 2, 4)",0.37836
"(0, 2)",0.42176
"(0, 4)",0.43317
"(0,)",0.48986
"(0, 2, 3, 4)",0.50519
"(1, 2)",0.51047
"(0, 3, 4)",0.54064
"(1, 2, 4)",0.55755
"(0, 2, 3)",0.60481
"(1, 2, 3)",0.62102
"(1, 2, 3, 4)",0.63159
"(0, 3)",0.66135
"(2, 4)",0.85229
"(2,)",0.90958
"(2, 3, 4)",1.17009
"(1,)",1.23197
"(1, 4)",1.25071
"(2, 3)",1.25443
"(4,)",1.33592
"(1, 3, 4)",1.53259
"(1, 3)",1.54538
"(3, 4)",1.6831
"(3,)",1.7982
